Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
109371,1652,415224,5776783,475,m,2011,January,1,5,1,2011,05/01/2011,5,20,100,40548,Jumping Jack Creek,Wood Arm,delta
109370,1692,404815,5778642,595,f,2011,January,1,5,1,2011,05/01/2011,5,20,100,40548,Mouth of Wood Arm,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,5,1,2011,05/01/2011,5,21,105,40548,Jumping Jack Creek,Wood Arm,delta
109370,1692,404815,5778642,595,f,2011,January,1,5,1,2011,05/01/2011,5,21,105,40548,Mouth of Wood Arm,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,5,1,2011,05/01/2011,5,22,110,40548,Jumping Jack Creek,Wood Arm,delta
109386,1672,398223,5774034,627,m,2011,January,1,5,1,2011,05/01/2011,5,22,110,40548,South outer forebay,Confluence,Reservoir
109370,1972,404815,5778642,621,m,2011,January,1,5,1,2011,05/01/2011,5,22,110,40548,Mouth of Wood Arm,Confluence,delta
109370,1692,404815,5778642,595,f,2011,January,1,5,1,2011,05/01/2011,5,23,115,40548,Mouth of Wood Arm,Confluence,delta
109370,1972,404815,5778642,621,m,2011,January,1,5,1,2011,05/01/2011,5,23,115,40548,Mouth of Wood Arm,Confluence,delta
109375,1592,400016,5786507,575,m,2011,January,1,5,1,2011,05/01/2011,5,24,120,40548,Harvey Creek,Confluence,delta
109370,1630,404815,5778642,601,m,2011,January,1,5,1,2011,05/01/2011,5,24,120,40548,Mouth of Wood Arm,Confluence,delta
107325,1758,456148,5730006,826,m,2011,January,1,5,1,2011,05/01/2011,5,24,120,40548,Gold Creek,Bush Arm,delta
109378,1806,400596,5781042,595,f,2011,January,1,5,1,2011,05/01/2011,5,24,120,40548,West Islands (replaced with 105468),Confluence,Reservoir
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,1,6,40549,Jumping Jack Creek,Wood Arm,delta
107325,1744,456148,5730006,696,m,2011,January,1,6,1,2011,06/01/2011,6,1,6,40549,Gold Creek,Bush Arm,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,2,12,40549,Jumping Jack Creek,Wood Arm,delta
109375,1592,400016,5786507,575,m,2011,January,1,6,1,2011,06/01/2011,6,3,18,40549,Harvey Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,3,18,40549,Jumping Jack Creek,Wood Arm,delta
107325,1744,456148,5730006,696,m,2011,January,1,6,1,2011,06/01/2011,6,3,18,40549,Gold Creek,Bush Arm,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,4,24,40549,Jumping Jack Creek,Wood Arm,delta
109386,1672,398223,5774034,627,m,2011,January,1,6,1,2011,06/01/2011,6,4,24,40549,South outer forebay,Confluence,Reservoir
109370,1972,404815,5778642,621,m,2011,January,1,6,1,2011,06/01/2011,6,4,24,40549,Mouth of Wood Arm,Confluence,delta
109375,1592,400016,5786507,575,m,2011,January,1,6,1,2011,06/01/2011,6,5,30,40549,Harvey Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,5,30,40549,Jumping Jack Creek,Wood Arm,delta
109369,1688,401855,5772877,645,f,2011,January,1,6,1,2011,06/01/2011,6,5,30,40549,Red rock (middle),Confluence,Reservoir
107325,1758,456148,5730006,826,m,2011,January,1,6,1,2011,06/01/2011,6,5,30,40549,Gold Creek,Bush Arm,delta
109375,1592,400016,5786507,575,m,2011,January,1,6,1,2011,06/01/2011,6,6,36,40549,Harvey Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,6,36,40549,Jumping Jack Creek,Wood Arm,delta
107325,1758,456148,5730006,826,m,2011,January,1,6,1,2011,06/01/2011,6,6,36,40549,Gold Creek,Bush Arm,delta
109370,1972,404815,5778642,621,m,2011,January,1,6,1,2011,06/01/2011,6,6,36,40549,Mouth of Wood Arm,Confluence,delta
